Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
UCMA	10p13	0.35	0.17	0.64	0.42	0.18	4.119e-3	7.578e-3	(A) Negative
ASB16	17q21.31	0.26	0.35	0.26	0.33	-0.08	4.125e-3	7.588e-3	(B) Positive
DOP1A	6q14.1	1.42	1.26	0.55	0.51	0.16	4.127e-3	7.590e-3	(A) Negative
KDM3A	2p11.2	-0.63	-0.78	0.51	0.43	0.15	4.127e-3	7.590e-3	(A) Negative
PAPPA	9q33.1	-1.11	-1.30	0.64	0.51	0.19	4.135e-3	7.604e-3	(A) Negative
MON1B	16q23.1	0.32	0.21	0.36	0.39	0.11	4.143e-3	7.617e-3	(A) Negative
CTAGE7P	10q26.3	0.22	0.38	0.53	0.44	-0.16	4.147e-3	7.625e-3	(B) Positive
CDK12	17q12	0.33	0.08	0.84	0.69	0.25	4.162e-3	7.651e-3	(A) Negative
PRPS1	Xq22.3	-1.85	-2.05	0.63	0.69	0.20	4.170e-3	7.666e-3	(A) Negative
USP48	1p36.12	-0.45	-0.57	0.44	0.35	0.13	4.173e-3	7.669e-3	(A) Negative
ZNF223	19q13.31	0.14	0.32	0.61	0.50	-0.18	4.199e-3	7.717e-3	(B) Positive
SPEN	1p36.21-p36.13	0.01	-0.10	0.35	0.34	0.10	4.204e-3	7.725e-3	(A) Negative
CCND3	6p21.1	-0.62	-0.76	0.46	0.42	0.14	4.206e-3	7.727e-3	(A) Negative
IQCE	7p22.3	0.34	0.48	0.49	0.36	-0.14	4.211e-3	7.736e-3	(B) Positive
DENND4C	9p22.1	0.31	0.48	0.59	0.47	-0.17	4.225e-3	7.762e-3	(B) Positive
SMAD5-AS1	5q31.1	0.22	0.03	0.68	0.49	0.19	4.230e-3	7.770e-3	(A) Negative
NR2C2AP	19p13.11	0.21	0.05	0.54	0.45	0.16	4.231e-3	7.770e-3	(A) Negative
ZNF502	3p21.31	1.21	0.89	1.06	1.05	0.32	4.231e-3	7.770e-3	(A) Negative
MPP3	17q21.31	-0.66	-0.34	1.06	0.93	-0.31	4.247e-3	7.797e-3	(B) Positive
ADCY4	14q12	3.35	3.54	0.65	0.58	-0.19	4.251e-3	7.805e-3	(B) Positive
MRPS23	17q22	-0.66	-0.45	0.68	0.72	-0.21	4.259e-3	7.819e-3	(B) Positive
ANKRD54	22q13.1	0.49	0.36	0.44	0.44	0.13	4.261e-3	7.821e-3	(A) Negative
MRPS6	21q22.11	-0.34	-0.52	0.62	0.57	0.18	4.264e-3	7.825e-3	(A) Negative
SRSF2	17q25.2	-0.50	-0.62	0.41	0.42	0.13	4.264e-3	7.825e-3	(A) Negative
LSM4	19p13.11	-0.40	-0.54	0.46	0.49	0.14	4.268e-3	7.833e-3	(A) Negative
UBAC1	9q34.3	-0.55	-0.68	0.41	0.38	0.12	4.271e-3	7.836e-3	(A) Negative
MATK	19p13.3	-1.76	-2.04	0.94	0.85	0.28	4.272e-3	7.837e-3	(A) Negative
ZC3H12D	6q25.1	-0.52	-0.67	0.50	0.44	0.15	4.286e-3	7.862e-3	(A) Negative
LYPD4	19q13.2	0.28	0.48	0.68	0.56	-0.20	4.286e-3	7.862e-3	(B) Positive
ACER3	11q13.5	0.24	-0.03	0.87	0.94	0.27	4.287e-3	7.862e-3	(A) Negative
MLF2	12p13.31	0.10	-0.04	0.49	0.40	0.14	4.293e-3	7.872e-3	(A) Negative
PABIR2	Xq26.3	-1.23	-1.05	0.63	0.53	-0.18	4.296e-3	7.878e-3	(B) Positive
TRIM36	5q22.3	-0.41	0.03	1.38	1.60	-0.43	4.300e-3	7.884e-3	(B) Positive
BUD23	7q11.23	-0.13	-0.29	0.55	0.45	0.16	4.302e-3	7.886e-3	(A) Negative
COMMD1	2p15	0.44	0.31	0.46	0.34	0.13	4.305e-3	7.892e-3	(A) Negative
ATP5MJ	14q32.33	-0.15	-0.31	0.55	0.49	0.16	4.317e-3	7.913e-3	(A) Negative
HOXB4	17q21.32	0.49	0.73	0.79	0.86	-0.24	4.328e-3	7.932e-3	(B) Positive
ADGRL4	1p31.1	4.48	4.74	0.86	0.83	-0.26	4.339e-3	7.951e-3	(B) Positive
ACTL10	20q11.22	1.48	1.74	0.89	0.87	-0.27	4.340e-3	7.952e-3	(B) Positive
PRDX6	1q25.1	-0.61	-0.77	0.56	0.47	0.16	4.343e-3	7.956e-3	(A) Negative
ZNF574	19q13.2	0.61	0.52	0.30	0.32	0.09	4.344e-3	7.957e-3	(A) Negative
ARHGEF15	17p13.1	0.58	0.67	0.31	0.35	-0.10	4.346e-3	7.960e-3	(B) Positive
NLRP14	11p15.4	0.08	-0.07	0.51	0.48	0.15	4.347e-3	7.961e-3	(A) Negative
MAP3K11	11q13.1	0.27	0.13	0.46	0.43	0.14	4.351e-3	7.967e-3	(A) Negative
RTP3	3p21.31	-0.24	-0.67	1.52	0.94	0.43	4.355e-3	7.975e-3	(A) Negative
KCTD11	17p13.1	0.06	0.24	0.61	0.49	-0.18	4.364e-3	7.990e-3	(B) Positive
AFG3L1P	16q24.3	-1.45	-1.64	0.64	0.59	0.19	4.365e-3	7.990e-3	(A) Negative
SGK1	6q23.2	-1.21	-1.49	0.95	0.92	0.28	4.369e-3	7.998e-3	(A) Negative
MOGAT2	11q13.5	0.59	0.05	1.81	1.70	0.54	4.371e-3	8.001e-3	(A) Negative
OR7A10	19p13.12	0.37	0.23	0.48	0.50	0.15	4.376e-3	8.009e-3	(A) Negative
NDUFV3	21q22.3	-0.21	-0.34	0.46	0.37	0.13	4.388e-3	8.030e-3	(A) Negative
ATIC	2q35	-0.66	-0.51	0.53	0.43	-0.15	4.396e-3	8.044e-3	(B) Positive
ZNF766	19q13.41	0.35	0.56	0.72	0.67	-0.21	4.401e-3	8.053e-3	(B) Positive
EFNA2	19p13.3	0.06	-0.02	0.26	0.24	0.08	4.416e-3	8.078e-3	(A) Negative
MYL11	16p11.2	-0.62	-0.50	0.32	0.60	-0.12	4.418e-3	8.081e-3	(B) Positive
TNFRSF1B	1p36.22	0.90	0.66	0.82	0.74	0.24	4.423e-3	8.089e-3	(A) Negative
ZBTB37	1q25.1	0.40	0.58	0.63	0.60	-0.19	4.433e-3	8.107e-3	(B) Positive
ZDHHC23	3q13.31	-0.43	-0.67	0.81	0.68	0.24	4.439e-3	8.116e-3	(A) Negative
PDP2	16q22.1	-0.24	-0.42	0.60	0.50	0.17	4.441e-3	8.120e-3	(A) Negative
ZBTB9	6p21.32	0.45	0.59	0.45	0.50	-0.14	4.442e-3	8.121e-3	(B) Positive
OR2H2	6p22.1	0.29	0.23	0.19	0.22	0.06	4.450e-3	8.134e-3	(A) Negative
DHX9	1q25.3	-0.11	-0.21	0.34	0.28	0.10	4.452e-3	8.138e-3	(A) Negative
PXDNL	8q11.22-q11.23	2.29	1.85	1.49	1.33	0.44	4.456e-3	8.143e-3	(A) Negative
KCNJ16	17q24.3	0.99	0.55	1.55	1.15	0.44	4.498e-3	8.219e-3	(A) Negative
PPL	16p13.3	1.24	0.96	0.93	0.80	0.27	4.499e-3	8.220e-3	(A) Negative
ZDHHC19	3q29	0.31	0.22	0.30	0.36	0.10	4.505e-3	8.231e-3	(A) Negative
PRAP1	10q26.3	-1.35	-1.48	0.44	0.39	0.13	4.509e-3	8.236e-3	(A) Negative
TIMMDC1	3q13.33	0.26	0.13	0.43	0.39	0.13	4.513e-3	8.243e-3	(A) Negative
RSRC2	12q24.31	-0.15	-0.05	0.35	0.30	-0.10	4.518e-3	8.253e-3	(B) Positive
ZNF518A	10q24.1	-0.05	-0.20	0.52	0.49	0.15	4.527e-3	8.267e-3	(A) Negative
RWDD2B	21q21.3	-0.06	-0.21	0.50	0.43	0.15	4.530e-3	8.271e-3	(A) Negative
KRT79	12q13.13	0.40	0.17	0.79	0.67	0.23	4.533e-3	8.277e-3	(A) Negative
TGIF1	18p11.31	0.28	0.46	0.62	0.56	-0.18	4.548e-3	8.304e-3	(B) Positive
TMC7	16p12.3	-0.33	-0.57	0.80	0.73	0.24	4.558e-3	8.320e-3	(A) Negative
POLR2E	19p13.3	-0.62	-0.48	0.48	0.46	-0.14	4.562e-3	8.327e-3	(B) Positive
VWA5A	11q24.2	0.29	0.56	0.90	0.80	-0.26	4.573e-3	8.346e-3	(B) Positive
HSD11B1L	19p13.3	0.46	0.26	0.66	0.65	0.20	4.574e-3	8.347e-3	(A) Negative
PCSK7	11q23.3	0.30	0.14	0.53	0.49	0.16	4.589e-3	8.373e-3	(A) Negative
SGSM3	22q13.1	0.35	0.18	0.57	0.50	0.17	4.591e-3	8.377e-3	(A) Negative
RHOV	15q15.1	0.95	0.62	1.06	1.13	0.32	4.599e-3	8.389e-3	(A) Negative
CYP26C1	10q23.33	0.36	0.20	0.54	0.44	0.16	4.612e-3	8.413e-3	(A) Negative
HAPLN1	5q14.3	0.22	-0.41	2.15	1.88	0.63	4.616e-3	8.419e-3	(A) Negative
LINC00260	1q32.1	-1.45	-1.66	0.71	0.64	0.21	4.623e-3	8.431e-3	(A) Negative
NDUFV1-DT	11q13.2	0.36	0.29	0.24	0.28	0.08	4.632e-3	8.447e-3	(A) Negative
CABIN1	22q11.23	-0.07	-0.22	0.49	0.46	0.14	4.636e-3	8.452e-3	(A) Negative
ARHGAP24	4q21.23-q21.3	0.52	0.72	0.69	0.70	-0.21	4.654e-3	8.484e-3	(B) Positive
KDM5C	Xp11.22	0.16	0.01	0.51	0.43	0.15	4.656e-3	8.487e-3	(A) Negative
ARHGAP9	12q13.3	1.30	0.98	1.12	0.92	0.32	4.657e-3	8.489e-3	(A) Negative
RITA1	12q24.13	-0.10	0.01	0.39	0.34	-0.11	4.663e-3	8.499e-3	(B) Positive
VSIG1	Xq22.3	0.60	0.46	0.47	0.47	0.14	4.667e-3	8.505e-3	(A) Negative
PRR7	5q35.3	0.03	-0.19	0.76	0.68	0.22	4.670e-3	8.509e-3	(A) Negative
KRT76	12q13.13	0.18	0.08	0.32	0.35	0.10	4.673e-3	8.515e-3	(A) Negative
KBTBD7	13q14.11	0.83	1.00	0.59	0.55	-0.17	4.676e-3	8.519e-3	(B) Positive
CCDC28B	1p35.2	-0.49	-0.78	1.02	0.69	0.29	4.677e-3	8.519e-3	(A) Negative
AAMP	2q35	0.07	0.21	0.48	0.42	-0.14	4.688e-3	8.539e-3	(B) Positive
SNPH	20p13	-0.34	0.04	1.27	1.25	-0.38	4.689e-3	8.540e-3	(B) Positive
WWP2	16q22.1	0.34	0.19	0.52	0.43	0.15	4.697e-3	8.552e-3	(A) Negative
PEX11B	1q21.1	1.01	1.16	0.50	0.45	-0.15	4.708e-3	8.573e-3	(B) Positive
FCGR1A	1q21.2	3.59	3.45	0.47	0.50	0.14	4.712e-3	8.578e-3	(A) Negative
TFB2M	1q44	0.09	-0.08	0.57	0.55	0.17	4.712e-3	8.578e-3	(A) Negative
UBA5	3q22.1	-0.74	-0.89	0.50	0.49	0.15	4.715e-3	8.583e-3	(A) Negative
PLA2G2D	1p36.12	0.18	0.02	0.58	0.43	0.16	4.736e-3	8.620e-3	(A) Negative
OR10S1	11q24.1	0.28	0.37	0.30	0.36	-0.09	4.754e-3	8.651e-3	(B) Positive
HTN1	4q13.3	0.05	-0.36	1.51	0.51	0.41	4.755e-3	8.653e-3	(A) Negative
NUDT11	Xp11.22	-1.83	-2.28	1.61	0.97	0.45	4.760e-3	8.661e-3	(A) Negative
ERCC4	16p13.12	0.11	0.26	0.52	0.39	-0.15	4.761e-3	8.661e-3	(B) Positive
CHRNE	17p13.2	0.61	0.52	0.29	0.24	0.08	4.763e-3	8.664e-3	(A) Negative
LARS2	3p21.31	-0.87	-0.75	0.41	0.38	-0.12	4.769e-3	8.675e-3	(B) Positive
UBE2N	12q22	-0.06	0.07	0.46	0.43	-0.13	4.774e-3	8.682e-3	(B) Positive
C1QA	1p36.12	3.57	3.44	0.43	0.39	0.13	4.776e-3	8.685e-3	(A) Negative
DISP2	15q15.1	-0.25	0.14	1.28	1.46	-0.39	4.788e-3	8.706e-3	(B) Positive
CALML3	10p15.1	0.45	0.91	1.51	1.65	-0.46	4.797e-3	8.721e-3	(B) Positive
THUMPD3	3p25.3	-0.72	-0.87	0.55	0.41	0.16	4.808e-3	8.740e-3	(A) Negative
BCL9L	11q23.3	0.14	-0.01	0.49	0.48	0.15	4.826e-3	8.772e-3	(A) Negative
LANCL1	2q34	-0.34	-0.18	0.54	0.47	-0.16	4.839e-3	8.795e-3	(B) Positive
HMCES	3q21.3	0.13	-0.02	0.54	0.43	0.16	4.842e-3	8.799e-3	(A) Negative
PWP1	12q23.3	-0.33	-0.47	0.50	0.35	0.14	4.854e-3	8.821e-3	(A) Negative
UQCRFS1	19q12	-0.08	-0.27	0.68	0.48	0.19	4.870e-3	8.848e-3	(A) Negative
NKIRAS2	17q21.2	0.16	0.01	0.50	0.46	0.15	4.872e-3	8.851e-3	(A) Negative
FERMT3	11q13.1	0.41	0.16	0.86	0.81	0.25	4.883e-3	8.871e-3	(A) Negative
CTRB2	16q23.1	0.39	0.31	0.27	0.29	0.08	4.886e-3	8.874e-3	(A) Negative
SH3YL1	2p25.3	1.26	1.04	0.80	0.63	0.23	4.889e-3	8.880e-3	(A) Negative
AURKC	19q13.43	-1.33	-1.16	0.54	0.74	-0.18	4.892e-3	8.883e-3	(B) Positive
SRSF7	2p22.1	-0.15	-0.24	0.31	0.28	0.09	4.910e-3	8.916e-3	(A) Negative
PHYHIP	8p21.3	-0.22	0.04	0.91	0.84	-0.27	4.926e-3	8.943e-3	(B) Positive
COPS6	7q22.1	-0.54	-0.42	0.40	0.37	-0.12	4.930e-3	8.949e-3	(B) Positive
FAM138F	19p13.3	-0.16	-0.28	0.42	0.42	0.13	4.934e-3	8.955e-3	(A) Negative
CD55	1q32.2	-0.63	-0.81	0.62	0.63	0.19	4.934e-3	8.955e-3	(A) Negative
CLEC5A	7q34	2.11	1.84	0.93	0.85	0.27	4.957e-3	8.996e-3	(A) Negative
PRB4	12p13.2	0.24	0.13	0.35	0.42	0.11	4.970e-3	9.018e-3	(A) Negative
TIMM23	10q11.22	0.28	0.15	0.44	0.40	0.13	4.977e-3	9.030e-3	(A) Negative
LINC00315	21q22.3	0.42	0.32	0.34	0.32	0.10	4.993e-3	9.058e-3	(A) Negative
SNX16	8q21.13	0.70	0.50	0.66	0.64	0.20	4.998e-3	9.066e-3	(A) Negative
ZNF592	15q25.3	0.15	0.03	0.42	0.38	0.12	4.998e-3	9.066e-3	(A) Negative
HNF1A	12q24.31	-1.47	-1.33	0.45	0.51	-0.14	4.999e-3	9.067e-3	(B) Positive
PCDHB18P	5q31.3	0.01	0.19	0.62	0.57	-0.18	5.009e-3	9.084e-3	(B) Positive
PEF1	1p35.2	0.82	0.96	0.49	0.44	-0.14	5.009e-3	9.084e-3	(B) Positive
RUVBL1	3q21.3	-0.33	-0.49	0.53	0.47	0.15	5.014e-3	9.090e-3	(A) Negative
FTSJ1	Xp11.23	-0.57	-0.69	0.40	0.39	0.12	5.015e-3	9.092e-3	(A) Negative
VGLL3	3p12.1	0.08	-0.06	0.48	0.46	0.14	5.022e-3	9.103e-3	(A) Negative
NAA16	13q14.11	-0.55	-0.42	0.44	0.36	-0.13	5.028e-3	9.114e-3	(B) Positive
ORC4	2q23.1	-0.08	0.06	0.49	0.43	-0.14	5.044e-3	9.142e-3	(B) Positive
TOE1	1p34.1	-0.69	-0.81	0.40	0.39	0.12	5.052e-3	9.155e-3	(A) Negative
SHLD2P1	10q11.22	0.15	0.31	0.58	0.45	-0.16	5.066e-3	9.180e-3	(B) Positive
EZR	6q25.3	0.82	1.01	0.66	0.63	-0.19	5.067e-3	9.181e-3	(B) Positive
PASD1	Xq28	-4.32	-4.46	0.49	0.40	0.14	5.072e-3	9.188e-3	(A) Negative
PGM3	6q14.1	-0.18	-0.37	0.65	0.65	0.19	5.073e-3	9.189e-3	(A) Negative
SGPP1	14q23.2	-1.00	-0.73	0.90	1.00	-0.27	5.077e-3	9.195e-3	(B) Positive
BCL2L2	14q11.2	-0.32	-0.21	0.37	0.36	-0.11	5.106e-3	9.247e-3	(B) Positive
OR2B11	1q44	0.47	0.40	0.21	0.24	0.06	5.111e-3	9.255e-3	(A) Negative
HOXD3	2q31.1	-0.54	-0.27	0.98	0.79	-0.28	5.119e-3	9.268e-3	(B) Positive
OR4D1	17q22	0.53	0.46	0.24	0.27	0.07	5.121e-3	9.271e-3	(A) Negative
RAB33B	4q31.1	0.80	0.95	0.54	0.47	-0.16	5.126e-3	9.280e-3	(B) Positive
AADACL4	1p36.21	-0.15	-0.32	0.57	0.62	0.17	5.156e-3	9.333e-3	(A) Negative
TDRD12	19q13.11	-2.51	-3.07	2.03	1.32	0.56	5.161e-3	9.341e-3	(A) Negative
CHD4	12p13.31	-0.09	0.02	0.38	0.37	-0.11	5.167e-3	9.350e-3	(B) Positive
MERTK	2q13	0.35	0.10	0.85	0.74	0.24	5.175e-3	9.364e-3	(A) Negative
TDRD3	13q21.2	-0.15	-0.01	0.49	0.46	-0.14	5.176e-3	9.366e-3	(B) Positive
HAT1	2q31.1	-0.58	-0.43	0.50	0.44	-0.15	5.178e-3	9.366e-3	(B) Positive
ZNF774	15q26.1	0.41	0.17	0.85	0.64	0.24	5.178e-3	9.366e-3	(A) Negative
CLDN18	3q22.3	0.20	0.11	0.29	0.33	0.09	5.184e-3	9.376e-3	(A) Negative
SUMF2	7p11.2	0.23	-0.02	0.89	0.54	0.24	5.195e-3	9.395e-3	(A) Negative
IRS4	Xq22.3	0.57	0.30	0.94	0.86	0.27	5.214e-3	9.428e-3	(A) Negative
DSP	6p24.3	1.43	1.16	0.86	1.14	0.27	5.214e-3	9.428e-3	(A) Negative
STK4	20q13.12	-0.11	-0.23	0.44	0.40	0.13	5.216e-3	9.430e-3	(A) Negative
AP2M1	3q27.1	-0.33	-0.49	0.56	0.55	0.16	5.218e-3	9.433e-3	(A) Negative
PRPH2	6p21.1	2.16	2.52	1.19	1.27	-0.36	5.222e-3	9.440e-3	(B) Positive
RBFOX1	16p13.3	-1.51	-1.37	0.43	0.67	-0.15	5.249e-3	9.487e-3	(B) Positive
NARS2	11q14.1	-0.62	-0.81	0.61	0.70	0.19	5.252e-3	9.492e-3	(A) Negative
NSUN5	7q11.23	-0.46	-0.59	0.47	0.39	0.13	5.258e-3	9.501e-3	(A) Negative
RPL22	1p36.31	0.12	-0.03	0.53	0.42	0.15	5.263e-3	9.509e-3	(A) Negative
IMP4	2q21.1	0.19	0.06	0.45	0.36	0.13	5.271e-3	9.523e-3	(A) Negative
ZKSCAN5	7q22.1	-0.73	-0.63	0.35	0.33	-0.10	5.274e-3	9.527e-3	(B) Positive
ANO7	2q37.3	-0.78	-0.99	0.69	0.76	0.21	5.278e-3	9.534e-3	(A) Negative
VPS4B	18q21.33	0.55	0.73	0.61	0.54	-0.18	5.279e-3	9.534e-3	(B) Positive
MT1JP	16q13	-0.16	-0.46	1.06	0.85	0.30	5.282e-3	9.539e-3	(A) Negative
FBXO33	14q21.1	0.05	-0.08	0.44	0.49	0.13	5.294e-3	9.559e-3	(A) Negative
CABS1	4q13.3	0.26	0.18	0.27	0.30	0.08	5.294e-3	9.559e-3	(A) Negative
SLBP	4p16.3	-0.72	-0.90	0.60	0.53	0.17	5.305e-3	9.576e-3	(A) Negative
SRSF1	17q22	-0.49	-0.60	0.39	0.35	0.11	5.310e-3	9.585e-3	(A) Negative
IFNW1	9p21.3	0.37	0.14	0.76	0.83	0.23	5.331e-3	9.623e-3	(A) Negative
PHF2	9q22.31	0.91	1.07	0.56	0.44	-0.16	5.337e-3	9.632e-3	(B) Positive
EMG1	12p13.31	-0.28	-0.47	0.69	0.52	0.19	5.340e-3	9.636e-3	(A) Negative
DDX1	2p24.3	-0.12	-0.24	0.45	0.34	0.13	5.341e-3	9.637e-3	(A) Negative
HOOK1	1p32.1	1.32	1.53	0.71	0.74	-0.21	5.347e-3	9.647e-3	(B) Positive
STIM2	4p15.2	0.12	0.29	0.58	0.51	-0.17	5.398e-3	9.739e-3	(B) Positive
TRPV1	17p13.2	-0.11	0.03	0.46	0.50	-0.14	5.401e-3	9.742e-3	(B) Positive
EEF1AKMT1	13q12.11	0.49	0.64	0.52	0.48	-0.15	5.414e-3	9.764e-3	(B) Positive
FOXD4	9p24.3	0.32	0.48	0.55	0.59	-0.16	5.414e-3	9.764e-3	(B) Positive
CTBS	1p22.3	0.31	0.50	0.64	0.59	-0.19	5.416e-3	9.765e-3	(B) Positive
ZNF830	17q12	0.34	0.48	0.46	0.50	-0.14	5.425e-3	9.782e-3	(B) Positive
CADM1	11q23.3	-0.52	-0.87	1.21	1.12	0.35	5.428e-3	9.785e-3	(A) Negative
THAP3	1p36.31	0.21	0.34	0.47	0.33	-0.13	5.436e-3	9.800e-3	(B) Positive
UBR4	1p36.13	-0.29	-0.40	0.38	0.32	0.11	5.437e-3	9.800e-3	(A) Negative
AEBP2	12p12.3	-0.06	-0.23	0.64	0.43	0.18	5.447e-3	9.817e-3	(A) Negative
SERPINA7	Xq22.3	-5.45	-5.59	0.46	0.44	0.14	5.455e-3	9.830e-3	(A) Negative
NDUFB11	Xp11.3	-0.36	-0.51	0.50	0.41	0.14	5.456e-3	9.832e-3	(A) Negative
DAP	5p15.2	0.37	0.19	0.61	0.52	0.17	5.473e-3	9.860e-3	(A) Negative
IFT81	12q24.11	-0.39	-0.24	0.54	0.43	-0.15	5.480e-3	9.873e-3	(B) Positive
CALHM5	6q22.1	1.01	1.25	0.81	0.76	-0.24	5.498e-3	9.903e-3	(B) Positive
SNAPC3	9p22.3	0.15	-0.03	0.65	0.52	0.18	5.500e-3	9.906e-3	(A) Negative
IRAG2	12p12.1	-0.98	-1.27	1.06	0.73	0.29	5.513e-3	9.929e-3	(A) Negative
WFDC10B	20q13.12	0.40	0.22	0.62	0.56	0.18	5.523e-3	9.946e-3	(A) Negative
RAVER1	19p13.2	0.41	0.28	0.43	0.47	0.13	5.529e-3	9.955e-3	(A) Negative
WFDC2	20q13.12	1.63	2.16	1.80	1.74	-0.53	5.539e-3	9.972e-3	(B) Positive
ARHGEF7	13q34	0.06	-0.12	0.64	0.44	0.18	5.543e-3	9.979e-3	(A) Negative
TVP23C	17p12	-0.21	-0.03	0.62	0.52	-0.18	5.553e-3	9.994e-3	(B) Positive
PPA2	4q24	-0.04	0.11	0.51	0.46	-0.15	5.553e-3	9.994e-3	(B) Positive
JMJD1C	10q21.3	0.19	0.01	0.63	0.52	0.18	5.558e-3	0.0100	(A) Negative
FAM222A	12q24.11	0.75	1.02	0.97	0.77	-0.27	5.567e-3	0.0100	(B) Positive
WFDC3	20q13.12	1.16	0.94	0.79	0.63	0.22	5.585e-3	0.0100	(A) Negative
TMC6	17q25.3	-0.93	-1.12	0.65	0.65	0.19	5.585e-3	0.0100	(A) Negative
STAMBPL1	10q23.31	-1.15	-1.34	0.68	0.57	0.19	5.589e-3	0.0101	(A) Negative
TMEM52	1p36.33	-0.11	-0.35	0.84	0.67	0.24	5.597e-3	0.0101	(A) Negative
CA8	8q12.1	-0.73	-0.09	2.26	1.90	-0.64	5.620e-3	0.0101	(B) Positive
ZNF112	19q13.31	0.74	0.95	0.74	0.60	-0.21	5.622e-3	0.0101	(B) Positive
TGFBR3	1p22.1	-0.55	-0.11	1.51	1.53	-0.44	5.623e-3	0.0101	(B) Positive
PCDH12	5q31.3	3.23	3.40	0.61	0.53	-0.17	5.624e-3	0.0101	(B) Positive
EXOSC5	19q13.2	0.01	-0.16	0.61	0.51	0.17	5.635e-3	0.0101	(A) Negative
RPAP3	12q13.11	-0.49	-0.35	0.48	0.44	-0.14	5.641e-3	0.0101	(B) Positive
MSRA	8p23.1	0.15	0.02	0.48	0.45	0.14	5.654e-3	0.0102	(A) Negative
TEX55	3q13.32	0.27	0.16	0.38	0.34	0.11	5.666e-3	0.0102	(A) Negative
GNAS	20q13.32	0.28	0.07	0.72	0.66	0.21	5.671e-3	0.0102	(A) Negative
MARCHF4	2q35	-0.80	-0.51	0.94	1.18	-0.29	5.678e-3	0.0102	(B) Positive
ENTPD1	10q24.1	1.91	1.78	0.43	0.44	0.13	5.690e-3	0.0102	(A) Negative
NTRK1	1q23.1	-1.63	-1.46	0.54	0.68	-0.17	5.693e-3	0.0102	(B) Positive
GSTT1	22q11.23 alternate reference locus	-0.34	0.11	1.52	1.59	-0.45	5.714e-3	0.0103	(B) Positive
CLDND1	3q11.2	0.14	0.03	0.39	0.36	0.11	5.725e-3	0.0103	(A) Negative
TPRX1	19q13.33	0.08	-0.03	0.37	0.32	0.10	5.726e-3	0.0103	(A) Negative
GFRA4	20p13	0.51	0.38	0.46	0.45	0.14	5.726e-3	0.0103	(A) Negative
SLC25A15	13q14.11	-0.53	-0.69	0.54	0.57	0.16	5.728e-3	0.0103	(A) Negative
CD300E	17q25.1	0.27	0.16	0.39	0.38	0.11	5.734e-3	0.0103	(A) Negative
ATG12	5q22.3	-0.51	-0.40	0.39	0.35	-0.11	5.744e-3	0.0103	(B) Positive
CIBAR2	16q24.1	1.44	1.10	1.21	1.11	0.35	5.753e-3	0.0103	(A) Negative
CCL21	9p13.3	1.31	1.06	0.88	0.75	0.25	5.767e-3	0.0104	(A) Negative
GABRA3	Xq28	-0.19	-0.36	0.60	0.57	0.17	5.772e-3	0.0104	(A) Negative
FAM83G	17p11.2	0.18	0.07	0.37	0.39	0.11	5.792e-3	0.0104	(A) Negative
CDH18	5p14.3	-4.50	-4.17	0.84	1.75	-0.32	5.803e-3	0.0104	(B) Positive
SPESP1	15q23	-0.95	-0.41	1.86	1.74	-0.54	5.812e-3	0.0104	(B) Positive
SPTSSB	3q26.1	-4.61	-4.02	2.04	2.02	-0.59	5.827e-3	0.0105	(B) Positive
SLC16A12	10q23.31	-0.81	-0.53	0.98	0.87	-0.28	5.831e-3	0.0105	(B) Positive
EAF2	3q13.33	0.39	0.09	1.03	1.07	0.30	5.834e-3	0.0105	(A) Negative
MEF2B	19p13.11	0.24	0.13	0.38	0.35	0.11	5.836e-3	0.0105	(A) Negative
ZCCHC2	18q21.33	0.42	0.25	0.59	0.52	0.17	5.848e-3	0.0105	(A) Negative
MYH8	17p13.1	0.21	0.32	0.35	0.48	-0.11	5.850e-3	0.0105	(B) Positive
EI24	11q24.2	0.07	-0.08	0.51	0.46	0.15	5.855e-3	0.0105	(A) Negative
TMEM184A	7p22.3	0.03	0.35	1.14	0.84	-0.31	5.857e-3	0.0105	(B) Positive
CAPN5	11q13.5	0.01	-0.09	0.35	0.34	0.10	5.863e-3	0.0105	(A) Negative
FKBP9	7p14.3	0.02	-0.16	0.66	0.56	0.19	5.865e-3	0.0105	(A) Negative
SALL1	16q12.1	-3.62	-3.33	1.01	0.91	-0.29	5.869e-3	0.0105	(B) Positive
KCNG2	18q23	0.10	0.29	0.67	0.72	-0.20	5.869e-3	0.0105	(B) Positive
LAMC3	9q34.12	-0.58	-0.84	0.90	0.88	0.26	5.872e-3	0.0105	(A) Negative
KMT2E	7q22.3	0.08	0.23	0.53	0.43	-0.15	5.874e-3	0.0105	(B) Positive
SPACA3	17q11.2	0.26	0.10	0.52	0.51	0.15	5.889e-3	0.0105	(A) Negative
TMED2	12q24.31	0.41	0.61	0.70	0.65	-0.20	5.895e-3	0.0106	(B) Positive
PROCR	20q11.22	-1.22	-0.97	0.83	0.85	-0.24	5.897e-3	0.0106	(B) Positive
NUDT10	Xp11.22	-1.26	-0.81	1.56	1.43	-0.45	5.910e-3	0.0106	(B) Positive
NSG1	4p16.3	-1.79	-2.21	1.50	1.03	0.41	5.912e-3	0.0106	(A) Negative
CTAG2	Xq28	-0.07	-0.37	1.09	0.76	0.30	5.922e-3	0.0106	(A) Negative
